player_id,player_name,team,transfer_value
1122,Andreas Pereira,Fulham,€17.8M
1123,Ricardo Pereira,Leicester City,€1.8M
1124,Kalvin Phillips,Ipswich Town,€11.8M
1125,Jaden Philogene Bidace,Aston Villa,€22.3M
1126,Jaden Philogene Bidace,Ipswich Town,€22.3M
1127,Jordan Pickford,Everton,€15.6M
1128,Ethan Pinnock,Brentford,€7.6M
1129,Nick Pope,Newcastle Utd,€11.5M
1130,Pedro Porro,Tottenham,€51.3M
1131,Jarell Quansah,Liverpool,€40.8M
1132,Aaron Ramsdale,Southampton,€18.6M
1133,Jacob Ramsey,Aston Villa,€45.8M
1134,Marcus Rashford,Manchester Utd,€52.2M
1135,Marcus Rashford,Aston Villa,€52.2M
1136,David Raya,Arsenal,€28.7M
1137,Harrison Reed,Fulham,€5M
1138,Sergio Reguilón,Tottenham,€2.1M
1139,Declan Rice,Arsenal,€116.4M
1140,Chris Richards,Crystal Palace,€15.8M
1141,Richarlison,Tottenham,€19.3M
1142,Andrew Robertson,Liverpool,€20.6M
1143,Antonee Robinson,Fulham,€42.7M
1144,Jay Robinson,Southampton,€8.9M
1145,Guido Rodríguez,West Ham,€7.2M
1146,Mads Roerslev,Brentford,€6.2M
1147,Morgan Rogers,Aston Villa,€79.6M
1148,Cristian Romero,Tottenham,€51.3M
1149,Georginio Rutter,Brighton,€41.2M
1150,José Sá,Wolves,€8.6M
1151,Bukayo Saka,Arsenal,€97.5M
1152,Mohamed Salah,Liverpool,€40.1M
1153,William Saliba,Arsenal,€79.5M
1154,Robert Sánchez,Chelsea,€24.8M
1155,Jadon Sancho,Chelsea,€36.2M
1156,Ibrahim Sangaré,Nott'ham Forest,€34.6M
1157,Pablo Sarabia,Wolves,€3.4M
1158,Ismaila Sarr,Crystal Palace,€38.4M
1159,Sávio,Manchester City,€1.2M
1160,Oliver Scarles,West Ham,€13.2M
1161,Kevin Schade,Brentford,€29.7M
1162,Fabian Schär,Newcastle Utd,€7.5M
1163,Jeffrey Schlupp,Crystal Palace,€2.1M
1164,Alex Scott,Bournemouth,€28.2M
1165,Matz Sels,Nott'ham Forest,€7.5M
1166,Nélson Semedo,Wolves,€4M
1167,Antoine Semenyo,Bournemouth,€51.1M
1168,Marcos Senesi,Bournemouth,€20.3M
1169,Ryan Sessegnon,Fulham,€11.8M
1170,Luke Shaw,Manchester Utd,€12.7M
1171,Bernardo Silva,Manchester City,€51.1M
1172,Jota Silva,Nott'ham Forest,€17.4M
1173,Jahmai Simpson-Pusey,Manchester City,€5.3M
1174,Luis Sinisterra,Bournemouth,€15.4M
1175,Oliver Skipp,Leicester City,€9.2M
1176,William Smallbone,Southampton,€2.7M
1177,Adam Smith,Bournemouth,€0.9M
1178,Emile Smith Rowe,Fulham,€35.8M
1179,Dominic Solanke,Tottenham,€51M
1180,Carlos Soler,West Ham,€23.3M
