Team,Metric,Count,Median,Mean,Std_Dev
Aston Villa,Assists,28,0.0,1.6071428571428572,2.698961195421589
Aston Villa,Yellow_Cards,28,2.0,2.7142857142857144,2.4014986502589935
Aston Villa,Red_Cards,28,0.0,0.14285714285714285,0.35634832254989923
Aston Villa,xG,28,0.8500000000000001,2.057142857142857,3.082859251412747
Aston Villa,xAG,28,0.55,1.5,2.0807762084447305
Aston Villa,Progressive_Carries,28,22.0,25.714285714285715,24.893636168569703
Aston Villa,Progressive_Passes,28,35.5,48.0,50.32413455310005
Aston Villa,Progressive_Passes_Received,28,22.5,47.535714285714285,55.69060173577874
Aston Villa,Goals_Per90,28,0.045,0.16285714285714284,0.26922188484672505
Aston Villa,Assists_Per90,28,0.0,0.08214285714285714,0.11425627927819702
Aston Villa,xG_Per90,28,0.08,0.18535714285714283,0.2321953542594738
