Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Anthony Gordon,eng ENG,Newcastle Utd,FWMF,23,34,28,2434,6,5,2,0,8.0,5.0,121,98,214,0.22,0.18,0.3,0.18,N/a,N/a,N/a,N/a,28.1,0.59,0.09,17.0,720,73.3,3642,85.6,78.2,44.8,51,65,55,17,101,3.74,12,0.44,32,18,37,25,25,2,23,7,1267,16,125,475,687,128,103,36.9,45.6,818,3295,62,56,36,38,924,20,71,8,131,97,8,8,50.0,€52.4M,2
Erling Haaland,no NOR,Manchester City,FW,24,31,31,2736,22,3,2,0,22.0,3.0,24,20,124,0.72,0.1,0.72,0.1,N/a,N/a,N/a,N/a,52.9,1.81,0.18,12.3,255,66.9,593,71.1,70.2,66.7,29,10,8,1,71,2.34,9,0.3,11,6,8,5,12,1,11,5,639,22,40,222,384,190,36,36.1,55.6,310,577,15,23,45,27,478,24,13,4,3,34,57,50,53.3,€199.6M,2
Kai Havertz,de GER,Arsenal,FWMF,25,23,21,1875,9,3,5,0,9.5,2.4,35,61,113,0.43,0.14,0.46,0.12,N/a,N/a,N/a,N/a,39.6,1.01,0.17,11.6,407,78.4,1033,84.1,82.6,45.5,17,27,9,1,42,2.02,3,0.14,16,9,15,11,23,4,19,6,785,31,92,287,411,107,38,23.7,63.2,418,954,23,18,44,23,584,38,23,14,11,41,63,78,44.7,€62.2M,2
Son Heung-min,kr KOR,Tottenham,FW,32,30,24,2110,7,9,1,0,7.2,8.2,96,111,265,0.3,0.38,0.31,0.35,N/a,N/a,N/a,N/a,43.6,1.02,0.11,17.0,730,78.9,2867,89.8,80.5,48.1,50,40,51,6,117,4.99,15,0.64,17,9,27,22,11,0,11,5,1134,16,115,362,668,122,83,34.9,49.4,761,2613,49,44,25,32,867,6,28,12,78,85,6,12,33.3,€28.6M,2
Callum Hudson-Odoi,eng ENG,Nott'ham Forest,FWMF,23,31,25,2194,5,2,2,0,2.5,2.7,130,71,189,0.21,0.08,0.1,0.11,N/a,N/a,N/a,N/a,45.9,0.7,0.14,18.3,691,82.0,2075,91.8,82.0,50.6,44,38,33,11,94,3.86,11,0.45,22,14,18,6,11,0,11,13,1035,16,117,338,605,74,63,58.7,28.6,641,3401,61,47,45,23,784,12,25,8,79,92,3,10,23.1,€31.7M,2
Omari Hutchinson,eng ENG,Ipswich Town,MFFW,20,31,30,2583,3,2,5,0,2.9,3.5,97,75,159,0.1,0.07,0.1,0.12,N/a,N/a,N/a,N/a,40.0,0.63,0.07,19.6,690,78.0,2022,88.5,83.5,52.1,31,45,27,15,81,2.82,6,0.21,32,13,48,35,27,2,25,11,1259,17,200,516,567,92,137,37.2,49.6,779,2976,39,37,80,58,893,30,46,6,81,110,6,26,18.8,€27.6M,2
Rasmus Højlund,dk DEN,Manchester Utd,FW,21,32,23,2004,4,0,2,0,5.3,1.8,28,18,101,0.18,0.0,0.24,0.08,N/a,N/a,N/a,N/a,40.6,0.58,0.13,12.9,251,74.7,486,81.0,67.7,66.7,16,14,5,1,34,1.53,1,0.04,3,1,5,5,6,0,6,2,515,6,36,251,237,74,33,27.3,63.6,308,655,13,17,63,33,408,17,28,13,8,35,31,94,24.8,N/a,2
Alexander Isak,se SWE,Newcastle Utd,FW,24,34,34,2756,23,6,1,0,20.3,4.3,83,88,217,0.75,0.2,0.66,0.14,N/a,N/a,N/a,N/a,43.2,1.34,0.20,14.5,519,75.3,1644,84.1,78.7,61.9,41,35,31,1,92,3.01,14,0.46,12,5,15,10,18,2,16,3,1025,20,57,386,596,189,91,46.2,51.6,615,1861,42,43,66,55,740,27,14,20,16,55,26,55,32.1,€132.1M,2
Alex Iwobi,ng NGA,Fulham,FWMF,28,38,35,2981,9,6,1,0,4.7,7.0,144,213,246,0.27,0.18,0.14,0.21,N/a,N/a,N/a,N/a,42.6,0.88,0.13,18.3,1150,75.1,5723,86.7,78.0,53.3,59,115,86,19,122,3.68,16,0.48,44,25,34,12,26,1,25,14,1861,33,244,748,895,116,97,49.5,43.3,1312,4367,105,37,62,40,1447,19,18,5,126,140,7,31,18.4,€31.2M,2
Nicolas Jackson,sn SEN,Chelsea,FW,23,30,28,2220,10,5,7,1,12.3,4.3,47,38,129,0.41,0.2,0.5,0.17,N/a,N/a,N/a,N/a,44.7,1.38,0.13,12.9,303,75.9,884,81.6,78.0,60.0,28,22,10,1,69,2.8,10,0.41,22,13,10,5,15,2,13,3,687,19,50,285,361,141,61,29.5,52.5,417,1316,25,32,71,41,514,35,29,23,3,48,21,36,36.8,€53.5M,2
